OBJECTID,Zone,Jurisdicti,Key,Definition,Min_DU_Ac,Max_DU_Ac,Min_FAR,Max_FAR,Max_Height,Res_Use,Comm_Use,Retail_Use,Indust_Use,Mixed_Use,Public_Use,PUD_Use,MaxCoverag,Shape_Leng,Shape_Area,plan_type,ptid,GID
0,ROW,Hunts Point,Hunts Point_ROW,Water + ROW,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,N,N,N,N,N,Y,N,0,19847.65820580000,1103215.22675000000,691,1000,2222
1,Water,Woodway,Woodway_Water,Water,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0,N,N,N,N,N,Y,N,0,17263.49849280000,5210464.97175000000,691,1000,1
2,522,Bothell,Bothell_522,SR-522 Corridor District,0.00000000000,104.54400000000,0.00000000000,2.40000000000,45',Y,Y,Y,N,Y,N,N,60,14601.10340020000,1403704.79230000000,247,111,2
3,"522, MHP",Bothell,"Bothell_522, MHP",SR-522 Corridor District-Mobile Home Park,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,N,N,N,N,N,N,N,0,2528.67201407000,389507.89245200000,672,1000,3
4,88 - MU,Marysville,Marysville_88 - MU,Mixed Use Special Area,0.00000000000,34.00000000000,0.00000000000,3.00000000000,65',Y,Y,Y,N,Y,Y,N,0,4596.75669812000,1067347.22107000000,199,246,4
5,A-1,Everett,Everett_A-1,Agriculture,0.00000000000,0.20000000000,0.00000000000,0.00000000000,35',Y,N,N,N,N,N,N,0,69341.06688330000,29801888.07970000000,689,825,5
6,ABC,SeaTac,SeaTac_ABC,Aviation Business,0.00000000000,75.00000000000,0.00000000000,2.50000000000,,Y,Y,Y,Y,N,N,N,75,25150.24208000000,3348756.50992000000,20,144,6
7,AC1,Lakewood,Lakewood_AC1,Air Corridor 1,0.00000000000,0.00000000000,0.00000000000,0.40000000000,,N,N,N,Y,N,Y,N,0,18911.66587590000,14410566.82710000000,659,800,7
8,AC2,Lakewood,Lakewood_AC2,Air Corridor 2,0.00000000000,0.00000000000,0.00000000000,0.40000000000,,N,N,N,Y,N,Y,N,0,19232.43953780000,10277303.19380000000,659,800,8
9,ACC,Lynnwood,Lynnwood_ACC,Alderwood-City Center Transition Area,0.00000000000,70.00000000000,0.00000000000,5.00000000000,85,Y,N,Y,Y,,N,N,70,11224.29399170000,2163757.79806000000,7,151,9
